Position,Name,CPU,Clock Speed,Score (cb),extra info
349,Sunako,Intel Core I7 5930K,4.7ghz,1273,
350,Jumper118,Intel Xeon X5675,5.474ghz,1273,
351,Lays,Intel Core I7 6700K,5.656ghz,1272,
352,Tech Wizard,Intel Core I7 4930K,4.605ghz,1267,
353,iCrazyNoob,Intel Xeon E5-2620 V2,2.1ghz,1265,
354,roberrrtz,Intel Core I7 5930K,4.374ghz,1263,
355,Alexdaman,Intel Core I7 3930K,5ghz,1262,
356,tbob22,Intel Xeon E5 1650 ,4.934ghz,1262,
357,MegaTechPC,Intel Core I7 4930K,4.7ghz,1260,
358,hehehehhehehehe,Intel Core I7 4930K,4.724ghz,1259,
359,Dxer,AMD Ryzen 5 1600,3.89ghz,1257,
360,RxL,Intel Core I7 5930K,4.5ghz,1255,
361,Ground,Intel Xeon E5649,5.306ghz,1251,
362,xpewpew,Intel Core I5 8600K,5.1ghz,1250,
363,done12many2,Intel Core I7 7700K,5.601ghz,1247,
364,Prince32780,Intel Core I7 3930K,5.0ghz,1244,
365,DXMember,Intel Core I7 5820K,4.2ghz,1240,
366,pmf026,Intel Core I7 6850K,4ghz,1240,
367,Mr.Meerkat,Intel Core I7 5820K,4.2ghz,1240,
368,Reutech,Intel Core I7 6800K,4.2ghz,1238,
369,Reutech,Intel Core I7 5820K,4.3ghz,1236,
370,rtsurfer,Intel Core I7 6700K,5.5ghz,1235,
371,Lmp,Intel Core I7 5820K,4.4ghz,1232,
372,Faa,Intel Core I7 3930K,4.8ghz,1232,
373,stlwrx,Intel Core I7 8600K,5ghz,1232,
374,KOMTechAndGaming,Intel Core I7 3930K,4.8ghz,1225,
375,Crunchy Dragon,AMD Ryzen 5 1600,3.793ghz,1225,
376,RainesX,Intel Core I7 5820K,4.4ghz,1223,
377,Simon771,Intel Core I7 8600K,5ghz,1221,
378,ShadowTechXTS,AMD Ryzen 5 1600,3.8ghz,1216,
379,ProKoN,Intel Core I7 7700K,5.411ghz,1215,
380,arnavvr,2x Intel Xeon E5630,3.8ghz,1213,
381,MrUnderground,AMD Ryzen 5 1600,3.8ghz,1210,
382,Skline00,Intel Core I7 3930K,4.8ghz,1209,
383,ProKoN,Intel Core I7 980X,5.151ghz,1208,
384,toms94z71,Intel Core I7 4930K,4.8ghz,1206,
385,Atsura,Intel Core I7 6800K,4.192ghz,1205,
386,ProKoN,Intel Core I7 6700K,5.341ghz,1203,
387,batpanda,Intel Core I7 5820K,4.2ghz,1202,
388,herman mcpootis,Intel Xeon E5 2670 V2,2.7ghz,1202,
389,TheGamingBarrel,Intel Core I7 4770K,5.9ghz,1200,
390,Lays,Intel Core I7 4790K,5.813ghz,1196,
391,seoz,Intel Core I5 8600K,5ghz,1189,
392,Michelle68,Intel Core I7 5930K,3.5ghz,1186,
393,BlizzHeroNuka,Intel Core I7 5820K,4.1ghz,1180,
394,joishw,2x Intel Xeon X5649,2.651ghz,1175,
395,PingPangbv,Intel Core i7 3930K,4.6ghz,1173,
396,Hal_9000,Intel Core I7 5820K,4ghz,1168,
397,Bubblewhale,Intel Core I7 7700K,5.3ghz,1168,
398,Nogghan,Intel Core I7 8600K,5ghz,1167,
399,Cacao,Intel Core I7 3930K,4.9ghz,1163,
400,rtsurfer,Intel Core I7 4790K,5.607ghz,1163,dice dice baby https://www.youtube.com/watch?v=rog8ou-ZepE
401,Castlebravo3154,Intel Core I5 8600K,4.7ghz,1162,
402,Abakan,Intel Core I7 5820K,4ghz,1159,
403,danakahawkeye,AMD Ryzen 5 1600,3.492ghz,1158,
404,ProRules,Intel Core I7 7700K,5.153ghz,1152,
405,ProKoN,Intel Core I7 4790K,5.558ghz,1151,dice dice baby https://www.youtube.com/watch?v=rog8ou-ZepE
406,Bordermick,Intel Core I7 3930K,4.5ghz,1150,
407,Lays,Intel Core I7 4770K,5.6ghz,1149,dice dice baby https://www.youtube.com/watch?v=rog8ou-ZepE
408,connbob,AMD Ryzen 5 1600,3.742ghz,1148,
409,Ensho,Intel Core I7 7700K,5.101ghz,1144,
410,Frosty,2x Intel Xeon E5645,2.4ghz,1140,
411,agent_x007,Intel Xeon X5650,4.51ghz,1040,
412,The76i,Intel Core I5 8600K,4.6ghz,1138,
413,Pasi123,AMD Ryzen 5 1600,3.6ghz,1136,
414,DragonTamer1,Intel Xeon E5 1650 ,4.7ghz,1135,
415,MightyHammer,AMD Ryzen 5 1600,3.5ghz,1135,
416,Xetano,Intel Core I7 8600K,4.3ghz,1134,
417,TheLhent,Intel Core I7 3960X,4.5ghz,1130,
418,Ally1987,Intel Core I7 3930K,4.5ghz,1128,
